JobID|JobIDRaw|State|ExitCode|Submit|Start|End|Elapsed
6915561_0|6915602|COMPLETED|0:0|2026-08-20T22:37:03|2026-08-20T22:42:00|2026-08-20T23:01:27|00:19:27
6915561_1|6915603|COMPLETED|0:0|2026-08-20T22:37:03|2026-08-20T22:42:00|2026-08-20T23:01:55|00:19:55
6915561_2|6915604|COMPLETED|0:0|2026-08-20T22:37:03|2026-08-20T22:42:00|2026-08-20T23:02:26|00:20:26
6915561_3|6915605|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T22:42:00|2026-08-20T23:07:05|00:25:05
6915561_4|6915606|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T22:42:00|2026-08-20T23:07:05|00:25:05
6915561_5|6915607|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T22:42:00|2026-08-20T23:07:05|00:25:05
6915561_6|6915608|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T22:42:00|2026-08-20T23:07:05|00:25:05
6915561_7|6915609|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T22:42:00|2026-08-20T23:07:05|00:25:05
6915561_8|6915561|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T22:42:00|2026-08-20T23:07:05|00:25:05
6915562_0|6915610|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T22:42:00|2026-08-20T23:07:05|00:25:05
6915562_1|6915614|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T22:43:02|2026-08-20T23:07:05|00:24:03
6915562_2|6915615|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T22:43:02|2026-08-20T23:07:05|00:24:03
6915562_3|6915621|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T22:43:32|2026-08-20T23:07:05|00:23:33
6915562_4|6915622|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T22:43:32|2026-08-20T23:07:05|00:23:33
6915562_5|6915623|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T22:43:32|2026-08-20T23:07:05|00:23:33
6915562_6|6915624|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T22:43:32|2026-08-20T23:07:05|00:23:33
6915562_7|6915625|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T22:43:32|2026-08-20T23:07:05|00:23:33
6915562_8|6915562|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T22:44:33|2026-08-20T23:07:05|00:22:32
6915563_0|6915635|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T22:49:21|2026-08-20T23:07:05|00:17:44
6915563_1|6915643|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T22:56:59|2026-08-20T23:07:05|00:10:06
6915563_2|6915644|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T22:56:59|2026-08-20T23:07:05|00:10:06
6915563_3|6915654|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T22:59:31|2026-08-20T23:07:05|00:07:34
6915563_4|6915655|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T22:59:31|2026-08-20T23:07:05|00:07:34
6915563_5|6915658|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T23:01:33|2026-08-20T23:07:05|00:05:32
6915563_6|6915661|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T23:02:03|2026-08-20T23:07:05|00:05:02
6915563_7|6915663|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T23:02:34|2026-08-20T23:07:05|00:04:31
6915563_8|6915563|CANCELLED by 51204|0:0|2026-08-20T22:37:03|2026-08-20T23:02:34|2026-08-20T23:07:05|00:04:31
6915564|6915564|CANCELLED by 51204|0:0|2026-08-20T22:37:11|None|2026-08-20T23:07:05|00:00:00
