JobID|JobIDRaw|State|ExitCode|Submit|Start|End|Elapsed
6915685_0|6915689|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:11:25|2026-08-20T23:29:48|00:18:23
6915685_1|6915690|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:11:25|2026-08-20T23:30:13|00:18:48
6915685_2|6915691|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:11:25|2026-08-20T23:30:06|00:18:41
6915685_3|6915692|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:11:25|2026-08-20T23:47:56|00:36:31
6915685_4|6915693|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:11:25|2026-08-20T23:47:41|00:36:16
6915685_5|6915694|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:11:25|2026-08-20T23:47:32|00:36:07
6915685_6|6915695|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:11:25|2026-08-21T00:49:31|01:38:06
6915685_7|6915696|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:11:25|2026-08-21T00:50:08|01:38:43
6915685_8|6915685|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:11:25|2026-08-21T00:51:21|01:39:56
6915686_0|6915697|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:11:25|2026-08-20T23:46:13|00:34:48
6915686_1|6915698|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:11:25|2026-08-20T23:47:58|00:36:33
6915686_2|6915699|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:11:25|2026-08-20T23:46:49|00:35:24
6915686_3|6915700|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:11:25|2026-08-21T00:23:31|01:12:06
6915686_4|6915701|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:11:25|2026-08-21T00:23:42|01:12:17
6915686_5|6915702|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:11:25|2026-08-21T00:23:07|01:11:42
6915686_6|6915703|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:11:25|2026-08-21T02:20:51|03:09:26
6915686_7|6915704|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:11:25|2026-08-21T02:21:39|03:10:14
6915686_8|6915686|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:11:25|2026-08-21T02:23:13|03:11:48
6915687_0|6915705|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:11:25|2026-08-20T23:30:48|00:19:23
6915687_1|6915706|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:11:25|2026-08-20T23:31:04|00:19:39
6915687_2|6915707|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:11:26|2026-08-20T23:31:00|00:19:34
6915687_3|6915708|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:11:26|2026-08-20T23:50:11|00:38:45
6915687_4|6915724|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:16:02|2026-08-20T23:53:46|00:37:44
6915687_5|6915725|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:16:02|2026-08-20T23:54:36|00:38:34
6915687_6|6915733|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:16:32|2026-08-21T00:58:45|01:42:13
6915687_7|6915734|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:16:32|2026-08-21T00:58:45|01:42:13
6915687_8|6915687|COMPLETED|0:0|2026-08-20T23:11:07|2026-08-20T23:16:32|2026-08-21T01:01:45|01:45:13
6916342|6916342|COMPLETED|0:0|2026-08-21T02:27:18|2026-08-21T02:27:43|2026-08-21T02:28:00|00:00:17
